penyakit,gejala,penyembuhan,dokter,tingkat risiko
flu,"demam, batuk, sakit tenggorokan, hidung meler atau tersumbat, nyeri otot, sakit kepala, kelelahan","obat bebas, istirahat, cairan","dokter umum, layanan gawat darurat","rendah (0,1%)"
bronkitis,"batuk, produksi lendir, sesak napas, nyeri dada","antibiotik, obat bebas, istirahat, cairan","dokter umum, pulmonolog","rendah (0,5%)"
pneumonia,"demam, batuk, sesak napas, nyeri dada, kelelahan","antibiotik, obat bebas, istirahat, cairan","dokter umum, pulmonolog","sedang (1%)"
serangan jantung,"nyeri dada, sesak napas, mual, muntah, pusing, berkeringat","layanan medis darurat","kardiolog","tinggi (20%)"
stroke,"kelemahan tiba-tiba, mati rasa di satu sisi tubuh, kebingungan, kesulitan bicara, masalah penglihatan di satu mata, sakit kepala parah","layanan medis darurat","neurolog","tinggi (15%)"
kanker,"benjolan, penurunan berat badan, kelelahan, perubahan kebiasaan buang air besar atau kecil, batuk terus-menerus, gangguan pencernaan, pendarahan atau cairan yang tidak biasa","operasi, kemoterapi, radioterapi","onkolog","bervariasi tergantung jenis kanker"
diabetes,"rasa haus berlebihan, sering buang air kecil, penurunan berat badan, kelelahan, penglihatan kabur, luka lama sembuh","diet, olahraga, obat-obatan","endokrinolog","tinggi (25%)"
penyakit Alzheimer,"hilang ingatan, kebingungan, kesulitan berpikir, perubahan perilaku","tidak ada obat untuk Alzheimer, namun pengobatan dapat membantu mengatasi gejalanya","neurolog","tinggi (70%)"
artritis,"nyeri, kekakuan, pembengkakan, peradangan pada sendi","obat-obatan, terapi fisik, perubahan gaya hidup","reumatolog","bervariasi tergantung jenis artritis"
adenovirus,"demam, sakit tenggorokan, batuk, konjungtivitis, ruam, mata merah","antibiotik, obat bebas, istirahat, cairan","dokter umum, layanan gawat darurat","rendah (0,1%)"
aflatoksikosis,"muntah, diare, penyakit kuning, kerusakan hati, kematian","tidak ada obat, perawatan mungkin mencakup perawatan suportif atau transplantasi hati","gastroenterolog","tinggi (70%)"
alkoholisme,"ketergantungan fisik pada alkohol, toleransi, gejala putus zat, gangguan penilaian, masalah memori, kerusakan hati, penyakit jantung, kanker","konseling, obat-obatan, kelompok dukungan","psikiater, spesialis kecanduan","tinggi (25%)"
rhinitis alergi,"hidung meler, bersin, mata gatal, hidung gatal, tenggorokan gatal","obat bebas, suntikan alergi","ahli alergi","rendah (0,1%)"
anemia,"kelelahan, sesak napas, kulit pucat, pusing","tergantung jenis anemia, mungkin mencakup obat-obatan, transfusi darah, atau operasi","hematolog","bervariasi tergantung jenis anemia"
gangguan kecemasan,"kekhawatiran berlebihan, ketakutan, kecemasan yang mengganggu kehidupan sehari-hari","terapi, obat-obatan, atau kombinasi keduanya","psikolog, psikiater","bervariasi tergantung jenis gangguan kecemasan"
apendisitis,"nyeri di perut kanan bawah, mual, muntah, demam","apendektomi","ahli bedah","tinggi (20%)"
asma,"mengi, sesak napas, batuk, dada sesak","obat-obatan, perubahan gaya hidup, suntikan alergi","ahli alergi, pulmonolog","bervariasi"
tuberkulosis,"batuk yang tidak kunjung sembuh, demam, keringat malam, penurunan berat badan, kelelahan, nyeri dada","antibiotik","dokter umum, pulmonolog","tinggi (20%)"
batu ginjal,"nyeri di punggung bawah atau samping, nyeri saat buang air kecil, urine berdarah, mual, muntah","minum air, obat-obatan, atau prosedur medis seperti ESWL","urolog","sedang (10%)"
sirosis,"kelelahan, penurunan berat badan, mual, kulit dan mata menguning (penyakit kuning), pembengkakan pada perut atau kaki","tidak dapat disembuhkan, perawatan mencakup perubahan gaya hidup, obat-obatan, dan transplantasi hati","gastroenterolog","tinggi (70%)"
hepatitis,"demam, kelelahan, kehilangan nafsu makan, mual, sakit perut, penyakit kuning","tergantung jenis hepatitis, mungkin mencakup antivirus, vaksin, atau transplantasi hati","gastroenterolog","bervariasi"
malaria,"demam, menggigil, berkeringat, sakit kepala, mual, muntah, kelelahan","antimalaria, cairan, dan perawatan suportif","spesialis penyakit tropis","tinggi (20%)"
dengue,"demam tinggi, sakit kepala, nyeri sendi dan otot, ruam, pendarahan ringan","istirahat, cairan, dan perawatan suportif","dokter umum, spesialis penyakit tropis","sedang (5%)"
COVID-19,"demam, batuk, sesak napas, kelelahan, kehilangan indra perasa atau penciuman","antivirus, vaksin, dan perawatan suportif","dokter umum, pulmonolog, layanan gawat darurat","bervariasi tergantung kondisi pasien"
gonore,"nyeri atau sensasi terbakar saat buang air kecil, keputihan, nyeri di perut bawah","antibiotik","dokter umum, ginekolog","sedang (10%)"
HIV/AIDS,"demam, keringat malam, penurunan berat badan, infeksi berulang","obat antiretroviral (ARV), tidak dapat disembuhkan namun bisa dikontrol","spesialis penyakit menular","tinggi (100% jika tidak diobati)"
epilepsi,"kejang berulang, hilang kesadaran, kebingungan sementara","obat antiepilepsi, pembedahan, atau perubahan gaya hidup","neurolog","bervariasi"
Parkinson,"tremor, kekakuan otot, masalah keseimbangan dan koordinasi, kesulitan berbicara","obat-obatan, terapi fisik, pembedahan (DBS)","neurolog","tinggi (70%)"
sindrom iritasi usus besar (IBS),"nyeri perut, kembung, diare atau sembelit, gas berlebihan","perubahan pola makan, obat-obatan, manajemen stres","gastroenterolog","rendah (0,5%)"
kolesterol tinggi,"tanpa gejala, namun bisa menyebabkan penyakit jantung","perubahan gaya hidup, obat-obatan seperti statin","dokter umum, kardiolog","bervariasi"
hipertensi,"tekanan darah tinggi, sakit kepala, pusing, mimisan","perubahan gaya hidup, obat-obatan","dokter umum, kardiolog","bervariasi"
lupus,"kelelahan, nyeri sendi, ruam kulit, demam, rambut rontok","obat-obatan imunosupresan, terapi kortikosteroid","reumatolog","tinggi (50%)"
osteoporosis,"nyeri punggung, postur bungkuk, patah tulang","obat-obatan, suplemen kalsium dan vitamin D, olahraga","reumatolog, ortopedis","sedang (10%)"
polio,"kelumpuhan, kelemahan otot, kesulitan bernapas","vaksinasi untuk pencegahan, perawatan suportif","spesialis penyakit menular","tinggi (50% jika terkena)"
rabies,"demam, kesemutan di area gigitan, kejang, halusinasi, agresi","tidak ada obat, hanya perawatan pencegahan dengan vaksin atau serum","spesialis penyakit menular","tinggi (100% jika tidak diobati)"
asthma,"sesak napas, batuk, mengi, tekanan di dada","inhaler, obat anti-inflamasi, menghindari pemicu","pulmonolog","sedang (10%)"
kanker paru-paru,"batuk kronis, nyeri dada, sesak napas, penurunan berat badan, kelelahan","kemoterapi, radioterapi, pembedahan","onkolog","tinggi (80%)"
kanker payudara,"benjolan di payudara, perubahan ukuran atau bentuk payudara, nyeri, keluarnya cairan","pembedahan, kemoterapi, terapi radiasi","onkolog","tinggi (70%)"
kanker usus besar,"perubahan kebiasaan buang air besar, darah dalam tinja, nyeri perut, penurunan berat badan","pembedahan, kemoterapi, terapi radiasi","onkolog","tinggi (40%)"
diabetes tipe 1,"haus berlebihan, buang air kecil yang sering, penurunan berat badan, kelelahan","insulin, pengelolaan diet, olahraga","endokrinolog","tinggi (30%)"
diabetes tipe 2,"haus berlebihan, kelelahan, penglihatan kabur, luka yang lambat sembuh","diet, olahraga, obat oral, insulin","endokrinolog","tinggi (70%)"
alergi,"gatal-gatal, hidung tersumbat, bersin, mata berair","antihistamin, menghindari alergen, imunoterapi","ahli alergi","rendah (1%)"
anemia,"kelelahan, pucat, sesak napas, detak jantung cepat","suplemen besi, transfusi darah, perubahan diet","dokter umum, hematolog","bervariasi"
depresi,"perasaan sedih, kehilangan minat, kelelahan, gangguan tidur","psikoterapi, obat antidepresan, olahraga","psikiater","sedang (15%)"
kecemasan,"kecemasan berlebihan, detak jantung cepat, berkeringat, kesulitan berkonsentrasi","psikoterapi, obat antianxiety, teknik relaksasi","psikiater","sedang (20%)"
insomnia,"kesulitan tidur, bangun terlalu dini, tidak merasa segar saat bangun tidur","perubahan gaya hidup, terapi kognitif perilaku, obat tidur","dokter umum, psikiater","sedang (10%)"
artritis,"nyeri sendi, pembengkakan, kekakuan, keterbatasan gerak","obat antiinflamasi, fisioterapi, pembedahan","reumatolog","tinggi (40%)"
gangguan tiroid,"kecemasan, penurunan berat badan atau penambahan berat badan, kelelahan, kulit kering","obat tiroid, terapi yodium radioaktif, pembedahan","endokrinolog","bervariasi"
skizofrenia,"halusinasi, delusi, gangguan berpikir, isolasi sosial","obat antipsikotik, terapi psikososial","psikiater","tinggi (70%)"
Celiac disease,"nyeri perut, diare, kembung, penurunan berat badan","diet bebas gluten, suplemen gizi","gastroenterolog","sedang (5%)"
fibromyalgia,"nyeri tubuh, kelelahan, kesulitan tidur, masalah kognitif","obat penghilang rasa sakit, terapi fisik, manajemen stres","rheumatolog","sedang (10%)"
hipertensi,"sakit kepala, pusing, sesak napas, palpitasi","perubahan gaya hidup, obat antihipertensi","dokter umum","tinggi (25%)"
stroke,"kelemahan mendadak, kesulitan berbicara, kebingungan, kehilangan keseimbangan","terapi rehabilitasi, obat pengencer darah, pembedahan","neurolog","tinggi (50%)"
kanker prostat,"nyeri panggul, kesulitan berkemih, darah dalam urine, disfungsi ereksi","pembedahan, terapi radiasi, terapi hormon","onkolog","tinggi (30%)"
kanker hati,"nyeri perut bagian atas, kehilangan berat badan, mual, jaundice","transplantasi hati, kemoterapi, terapi target","onkolog","tinggi (60%)"
penyakit jantung koroner,"nyeri dada, sesak napas, kelelahan, palpitasi","perubahan gaya hidup, obat, pembedahan","kardiolog","tinggi (40%)"
Penyakit Alzheimer,"kebingungan, kehilangan memori, perubahan suasana hati, kesulitan berbicara","pengobatan simtomatik, terapi okupasi","neurolog","tinggi (60%)"
Penyakit Parkinson,"tremor, kekakuan otot, kesulitan bergerak, perubahan postur","obat, fisioterapi, pembedahan","neurolog","tinggi (30%)"
asma alergi,"sesak napas, batuk, mengi saat terpapar alergen","inhaler, penghindaran alergen, terapi imun","pulmonolog","sedang (20%)"
HIV/AIDS,"demam, keringat malam, penurunan berat badan, kelelahan","antiretroviral, manajemen kesehatan","spesialis infeksi","tinggi (50%)"
tuberkulosis,"batuk berdarah, demam, berkeringat malam, penurunan berat badan","antibiotik, terapi kombinasi","dokter paru-paru","tinggi (25%)"
gangguan bipolar,"perubahan suasana hati ekstrem, energi tinggi atau rendah, masalah tidur","obat stabilisator suasana hati, terapi","psikiater","tinggi (30%)"
autoimun,"kelelahan, nyeri sendi, ruam, demam","obat imunosupresif, terapi fisik","rheumatolog","bervariasi"
celiaca,"kembung, diare, nyeri perut setelah konsumsi gluten","diet bebas gluten","gastroenterolog","sedang (5%)"
pneumonia,"batuk, demam, sesak napas, nyeri dada","antibiotik, terapi suportif","dokter umum","tinggi (20%)"
hepatitis,"kelelahan, kehilangan nafsu makan, nyeri perut, jaundice","antiviral, manajemen simtomatik","hepatolog","tinggi (30%)"
